OFTIC    TICKER     ANNDATS    MEASURE    PDICITY     VALUE
 CAT      CAT      19950719      EPS        QTR       0.4050
 CAT      CAT      19951017      EPS        QTR       0.2675
 CAT      CAT      19960118      EPS        QTR       0.3825
 CAT      CAT      19960416      EPS        QTR       0.3825
 CAT      CAT      19960716      EPS        QTR       0.4850
 CAT      CAT      19961015      EPS        QTR       0.4025
 CAT      CAT      19970121      EPS        QTR       0.4975
 CAT      CAT      19970415      EPS        QTR       0.5200
 CAT      CAT      19970722      EPS        QTR       0.5750
 CAT      CAT      19971015      EPS        QTR       0.5150
 CAT      CAT      19980121      EPS        QTR       0.6000
 CAT      CAT      19980417      EPS        QTR       0.5750
 CAT      CAT      19980715      EPS        QTR       0.6000
 CAT      CAT      19981016      EPS        QTR       0.4600
 CAT      CAT      19990120      EPS        QTR       0.4150
 CAT      CAT      19990416      EPS        QTR       0.2850
 CAT      CAT      19990716      EPS        QTR       0.3900
 CAT      CAT      19991015      EPS        QTR       0.3050
 CAT      CAT      20000121      EPS        QTR       0.3350
 CAT      CAT      20000418      EPS        QTR       0.3650
 CAT      CAT      20000720      EPS        QTR       0.4500
 CAT      CAT      20001017      EPS        QTR       0.3100
 CAT      CAT      20010118      EPS        QTR       0.3800
 CAT      CAT      20010417      EPS        QTR       0.2350
 CAT      CAT      20010717      EPS        QTR       0.3900
 CAT      CAT      20011016      EPS        QTR       0.2950
 CAT      CAT      20020123      EPS        QTR       0.3800
 CAT      CAT      20020416      EPS        QTR       0.1150
 CAT      CAT      20020716      EPS        QTR       0.2900
 CAT      CAT      20021016      EPS        QTR       0.3050
 CAT      CAT      20030123      EPS        QTR       0.4400
 CAT      CAT      20030416      EPS        QTR       0.1850
 CAT      CAT      20030717      EPS        QTR       0.5750
 CAT      CAT      20031016      EPS        QTR       0.3100
 CAT      CAT      20040127      EPS        QTR       0.4850
 CAT      CAT      20040422      EPS        QTR       0.5800
 CAT      CAT      20040722      EPS        QTR       0.7750
 CAT      CAT      20041021      EPS        QTR       0.7050
 CAT      CAT      20050127      EPS        QTR       0.7750
 CAT      CAT      20050420      EPS        QTR       0.8150
 CAT      CAT      20050721      EPS        QTR       1.0800
 CAT      CAT      20051021      EPS        QTR       0.9400
 CAT      CAT      20060126      EPS        QTR       1.2000
 CAT      CAT      20060424      EPS        QTR       1.2000
 CAT      CAT      20060721      EPS        QTR       1.5200
 CAT      CAT      20061020      EPS        QTR       1.1400
 CAT      CAT      20070126      EPS        QTR       1.3200
 CAT      CAT      20070420      EPS        QTR       1.2300
 CAT      CAT      20070720      EPS        QTR       1.2400
 CAT      CAT      20071019      EPS        QTR       1.4000
 CAT      CAT      20080125      EPS        QTR       1.5000
 CAT      CAT      20080418      EPS        QTR       1.4500
 CAT      CAT      20080722      EPS        QTR       1.7400
 CAT      CAT      20081021      EPS        QTR       1.3900
 CAT      CAT      20090126      EPS        QTR       1.0800
 CAT      CAT      20090421      EPS        QTR       0.3900
 CAT      CAT      20090721      EPS        QTR       0.7200
 CAT      CAT      20091020      EPS        QTR       0.6400
 CAT      CAT      20100127      EPS        QTR       0.4100
 CAT      CAT      20100426      EPS        QTR       0.3600
 CAT      CAT      20100722      EPS        QTR       1.0900
 CAT      CAT      20101021      EPS        QTR       1.2200
 CAT      CAT      20110127      EPS        QTR       1.4700
 CAT      CAT      20110429      EPS        QTR       1.8400
 CAT      CAT      20110722      EPS        QTR       1.7200
 CAT      CAT      20111024      EPS        QTR       1.7100
 CAT      CAT      20120126      EPS        QTR       2.3200
 CAT      CAT      20120425      EPS        QTR       2.3700
 CAT      CAT      20120725      EPS        QTR       2.5400
 CAT      CAT      20121022      EPS        QTR       2.2600
 CAT      CAT      20130128      EPS        QTR       1.4600
 CAT      CAT      20130422      EPS        QTR       1.3100
 CAT      CAT      20130724      EPS        QTR       1.4500
 CAT      CAT      20131023      EPS        QTR       1.4500
 CAT      CAT      20140127      EPS        QTR       1.5800
 CAT      CAT      20140424      EPS        QTR       1.6100
