   Permno    date           rtn
   14593    20050307      -0.001402
   14593    20050308      -0.051930
   14593    20050309      -0.029114
   14593    20050310       0.012198
   14593    20050311       0.011047
   14593    20050314       0.001242
   14593    20050315       0.015873
   14593    20050316       0.005371
   14593    20050317       0.025983
   14593    20050318       0.016805
   14593    20050321       0.017225
   14593    20050322      -0.019908
   14593    20050323      -0.006538
   14593    20050324      -0.001175
   14593    20050328       0.000706
   14593    20050329      -0.018340
   14593    20050330       0.025150
   14593    20050331      -0.026402
   14593    20050401      -0.018718
   14593    20050404       0.004891
   14593    20050405       0.019469
   14593    20050406       0.010504
   14593    20050407       0.029057
   14593    20050408       0.004132
   14593    20050411      -0.041610
   14593    20050412       0.017653
   14593    20050413      -0.037975
   14593    20050414      -0.092105
   14593    20050415      -0.051261
   14593    20050418       0.007638
   14593    20050419       0.041269
   14593    20050420      -0.042599
   14593    20050421       0.047029
   14593    20050422      -0.045186
   14593    20050425       0.041690
   14593    20050426      -0.021363
   14593    20050427      -0.006632
   14593    20050428      -0.011405
   14593    20050429       0.014631
   14593    20050502       0.010261
   14593    20050503      -0.006039
   14593    20050504       0.025960
   14593    20050505      -0.012651
   14593    20050506       0.015267
   14593    20050509      -0.007250
   14593    20050510      -0.014877
   14593    20050511      -0.022240
   14593    20050512      -0.041561
   14593    20050513       0.018752
   14593    20050516       0.022433
   14593    20050517      -0.005345
   14593    20050518       0.013575
   14593    20050519       0.047712
   14593    20050520       0.000000
   14593    20050523       0.058855
   14593    20050524      -0.001509
   14593    20050525       0.002015
   14593    20050526       0.024133
   14593    20050527      -0.004418
   14593    20050531      -0.019741
   14593    20050601       0.013599
   14593    20050602      -0.006452
   14593    20050603      -0.044955
   14593    20050606      -0.008368
   14593    20050607      -0.036392
   14593    20050608       0.010399
   14593    20050609       0.019773
   14593    20050610      -0.048871
   14593    20050613       0.002513
   14593    20050614       0.002785
   14593    20050615       0.031389
   14593    20050616       0.022892
   14593    20050617       0.008689
   14593    20050620      -0.018272
   14593    20050621       0.006647
   14593    20050622       0.018225
   14593    20050623       0.008820
   14593    20050624      -0.029056
   14593    20050627      -0.017479
   14593    20050628       0.005660
   14593    20050629      -0.025194
   14593    20050630       0.012098
   14593    20050701      -0.008422
   14593    20050705       0.040548
   14593    20050706      -0.015534
   14593    20050707       0.006419
   14593    20050708       0.016476
   14593    20050711      -0.003922
   14593    20050712       0.003675
   14593    20050713       0.002876
   14593    20050714       0.062582
   14593    20050715       0.019632
   14593    20050718      -0.001444
   14593    20050719       0.040974
   14593    20050720       0.010188
   14593    20050721      -0.007793
   14593    20050722       0.016401
   14593    20050725      -0.004318
   14593    20050726      -0.004109
   14593    20050727       0.008251
   14593    20050728      -0.004319
   14593    20050729      -0.026256
   14593    20050801       0.002345
   14593    20050802       0.010292
   14593    20050803       0.000695
   14593    20050804      -0.011800
   14593    20050805       0.006556
   14593    20050808      -0.007909
   14593    20050809       0.027433
   14593    20050810      -0.010041
   14593    20050811       0.014292
   14593    20050812       0.047727
   14593    20050815       0.034273
   14593    20050816      -0.029992
   14593    20050817       0.019459
   14593    20050818      -0.018028
   14593    20050819      -0.010151
   14593    20050822       0.000873
   14593    20050823      -0.002834
   14593    20050824       0.000656
   14593    20050825       0.006336
   14593    20050826      -0.006947
   14593    20050829       0.002186
   14593    20050830       0.015925
   14593    20050831       0.006871
   14593    20050901      -0.013436
   14593    20050902      -0.000865
   14593    20050906       0.055820
   14593    20050907      -0.002459
   14593    20050908       0.022597
   14593    20050909       0.030735
   14593    20050912       0.001754
   14593    20050913      -0.011284
   14593    20050914      -0.023810
   14593    20050915       0.005241
   14593    20050916       0.026870
   14593    20050919       0.027924
   14593    20050920       0.010448
   14593    20050921      -0.020305
   14593    20050922      -0.004030
   14593    20050923       0.025048
   14593    20050926       0.012030
   14593    20050927      -0.007429
   14593    20050928      -0.044162
   14593    20050929       0.024667
   14593    20050930       0.024264
   14593    20051003       0.015482
   14593    20051004      -0.012674
   14593    20051005      -0.018045
   14593    20051006      -0.020464
   14593    20051007      -0.007737
   14593    20051010      -0.018129
   14593    20051011       0.024221
   14593    20051012      -0.045358
   14593    20051013       0.091168
   14593    20051014       0.004838
   14593    20051017      -0.010370
   14593    20051018      -0.023016
   14593    20051019       0.052289
   14593    20051020       0.021842
   14593    20051021      -0.008550
   14593    20051024       0.020302
   14593    20051025      -0.012150
   14593    20051026       0.016578
   14593    20051027      -0.028406
   14593    20051028      -0.016964
   14593    20051031       0.057279
   14593    20051101      -0.001563
   14593    20051102       0.042609
   14593    20051103       0.031691
   14593    20051104      -0.011316
   14593    20051107      -0.015045
   14593    20051108      -0.005479
   14593    20051109       0.003506
   14593    20051110       0.017801
   14593    20051111       0.005884
   14593    20051114      -0.001462
   14593    20051115       0.013507
   14593    20051116       0.042871
   14593    20051117      -0.006620
   14593    20051118       0.000620
   14593    20051121       0.006196
   14593    20051122       0.024015
   14593    20051123       0.008870
   14593    20051125       0.033229
   14593    20051128       0.004615
   14593    20051129      -0.022395
   14593    20051130      -0.004112
   14593    20051201       0.055737
   14593    20051202       0.014384
   14593    20051205      -0.011152
   14593    20051206       0.031050
   14593    20051207      -0.001351
   14593    20051208       0.001758
   14593    20051209       0.003381
   14593    20051212       0.007796
   14593    20051213       0.000934
   14593    20051214      -0.039611
   14593    20051215       0.002361
   14593    20051216      -0.014824
   14593    20051219       0.003797
   14593    20051220       0.010227
   14593    20051221       0.019276
   14593    20051222       0.007075
   14593    20051223      -0.009052
   14593    20051227       0.011997
   14593    20051228      -0.008891
   14593    20051229      -0.028816
   14593    20051230       0.006158
   14593    20060103       0.039783
   14593    20060104       0.002943
   14593    20060105      -0.007870
   14593    20060106       0.025813
   14593    20060109      -0.003277
   14593    20060110       0.063248
   14593    20060111       0.037596
   14593    20060112       0.004660
   14593    20060113       0.015410
   14593    20060117      -0.010279
   14593    20060118      -0.026207
