date       ibm      bnd3a
20030319 -0.005699 -0.002546504
20030320 0.002439 -0.001877439
20030321 0.032847 -0.004443602
20030324 -0.031213 0.007170596
20030325 0.01459 0.0003513292
20030326 -0.022768 0.001550229
20030327 -0.001226 0.0009348252
20030328 -0.007366 0.003148599
20030331 -0.029932 0.00461747
20030401 0.003825 0.0003476246
20030402 0.034675 -0.005081533
20030403 0.005524 0.0006693343
20030404 -0.013674 0.0003199581
20030407 -0.003961 -0.003379267
20030408 -0.004971 0.00448379
20030409 -0.016985 0.002321331
20030410 0.003811 -0.001537279
20030411 -0.003291 -0.001859493
20030414 0.016762 -0.001862957
20030415 0.03397 0.002502548
20030416 0.001087 0.002815146
20030417 0.016651 8.694014e-05
20030421 -0.010681 0.0004345874
20030422 0.027231 0.0002317027
20030423 0.001401 -0.0001448079
20030424 -0.006414 0.006697098
20030425 -0.015493 0.001322561
20030428 0.014783 -0.0001149359
20030429 0.006344 -0.001696841
20030430 -0.008872 0.004795484
20030501 0.011661 0.0004296086
20030502 0.01956 -0.002810118
20030505 -0.01199 0.002036690
20030506 0.011443 0.003975352
20030507 -0.007656 0.005919366
20030508 -0.007268 8.511966e-05
20030509 0.017432 -0.0004540553
20030512 0.016562 0.002579696
20030513 0.011011 0.001103550
20030514 -0.014225 0.005133858
20030515 0.013529 -0.001943252
20030516 -0.010122 0.003938896
20030519 -0.028543 0.001178650
20030520 -0.007866 0.004142299
20030521 0.00478 -0.002152974
20030522 -0.00116 0.003102164
20030523 -0.009526 0.0009761676
20030527 0.028501 -0.003099133
20030528 -0.001368 -0.000979199
20030529 -0.002398 0.004189833
20030530 0.007784 -0.0006691948
20030602 -0.008065 -0.003688597
20030603 -0.040192 0.005360745
20030604 0.00513 0.002169621
20030605 -0.027893 -0.002058243
20030606 -0.022589 -0.000612728
20030609 0.02436 0.00486362
20030610 -0.003537 0.005695028
20030611 0.027659 -0.0002205619
20030612 -0.000238 0.001763134
20030613 -0.014294 0.003297522
20030616 0.021148 -0.003242474
20030617 -0.002367 -0.003998847
20030618 0.004745 -0.004847588
20030619 -0.001771 0.001110094
20030620 0.004376 -0.002749734
20030623 -0.02049 0.004800165
20030624 0.00541 0.002018611
20030625 -0.013631 -0.00554018
20030626 0.022548 -0.00867642
20030627 -0.011025 -0.001177526
20030630 -0.011029 0.002577538
20030701 0.013212 -0.001119852
20030702 0.013758 0.001259746
20030703 -0.009323 -0.00524538
20030707 0.025491 -0.002196070
20030708 0.001859 -0.0007330965
20030709 -0.009043 0.001268481
20030710 -0.016848 0.001435670
20030711 0.010234 0.002668803
20030714 0.006243 -0.00396363
20030715 0.011941 -0.01016329
20030716 0.003471 -0.001224287
20030717 -0.039313 5.697681e-05
20030718 0.00468 -0.0008835056
20030721 -0.014572 -0.009770431
20030722 -0.007879 0.002214586
20030723 0.005498 0.002324348
20030724 -0.009599 -0.002784118
20030725 0.025028 -0.0004312266
20030728 -0.012089 -0.00565185
20030729 -0.008965 -0.005509496
20030730 -0.010269 0.003164422
20030731 0.003582 -0.009494203
20030801 0.000246 0.002834394
20030804 -0.001723 0.002651787
20030805 -0.015777 -0.005720305
20030806 0.000751 0.007581095
20030807 0.011787 0.003016419
20030808 0.002355 0.000839497
20030811 0.001731 -0.00362356
20030812 0.006048 0.0005806527
20030813 -0.003803 -0.01094374
20030814 0.004434 -0.002085568
20030815 0.00282 0.002789566
20030818 0.021152 0.003191103
